1383	Anthony van Zorke of Meghelen
1385	Antione Lerouge and Nicholas De Candecsote
1386	Anto. di Orfante
1389	Antoine Gosson
1391	Antoine de Batteville
1392	Antoine de Bourbon, Duc de Vendome (King of Navarre)
1394	Antoine du Prat
1395	Antoinette de Bourbon, Duchess of Guise
1397	Antonio Avigua
1398	Antonio Balbani
1399	Antonio Battaglione
1400	Antonio Bavarin
1401	Antonio Bonvisi
1404	Antonio Brito de Pimentell
1406	Antonio Bruschetto
1407	Antonio Capponi
1410	Antonio Dati
1412	Antonio Foga&#x00E7;a
1414	Antonio Giron de Cuniga
1416	Antonio Gomez
1417	Antonio Grimani, Doge of Venice
1421	Antonio Leyva, Captain General of the League
1422	Antonio Lobo
1424	Antonio Oltrava
1425	Antonio Pagano
1426	Antonio Pecchi
1428	Antonio Perez
1429	Antonio Rota
1432	Antonio Vivaldi
1433	Antonio da Veigua
1435	Antonio de Castiglio
1441	Antonio de Jauregui
1444	Antonio di Fonti
1445	Antonio di Tassis
1448	Antonioto Adorno
1449	Antonis Janson
1450	Antonius Florebellus
1451	Antonius Laudus Florentinus
1452	Antonius de Silva
1466	Antony Darcy
1467	Antony De Bergis
1470	Antony Duodo
1472	Antony Harvy
1473	Antony Musa
1478	Antony Vuedale
1479	Antony Waite
1480	Antony Wallhall
1481	Antony Walshe
1483	Antony de Castelnau, Bishop of Tarbes
1486	Antony of Bergen, Abbot of St. Bertin
1487	Antoyne Corran
1488	Arbroath
1490	Arch-bishop of Castells
1491	Arch-deacon of Lincoln
1492	Archan Archany
1500	Archbishop Hamilton
1507	Archbishop elect of York
1510	Archbishop of Athens
1512	Archbishop of Barri
1518	Archbishop of Colocza
1526	Archbishop of Dublin's servant
1532	Archbishop of Gran
1535	Archbishop of Mayence
1538	Archbishop of Santiago
1540	Archbishop of St Andrews
1542	Archbishop of St. Andrew's and Commendatory of Murray
1544	Archbishop of St. Andrews
1545	Archbishop of Toledo
1546	Archbishop of Toledo (Tavera)
1547	Archbishop of Treves
1554	Archbishops, earls, bishops and barons of the realm of Ireland
1556	Archdeacon of Canterbury
1557	Archdeaconry of the East Riding, York
1560	Archduke Albert
1562	Archduke Charles of Austria
1563	Archduke Ernest
1565	Archduke Matthias
1566	Archduke Maximilian
1568	Archibald Betonne
1570	Archibald Colvill
1572	Archibald Douglas, Earl of Angus
1573	Archibald Douglas, Earl of Angus and Morton
1574	Archibald Edgair
1575	Archibald Graham
1577	Archibald Harbertson
1579	Archibald Johnston
1580	Archibald Macbreck, Andrew Horner, Wm. Thonson and John Arnet
1581	Archibald Primrose
1585	Arent van Barward
1586	Ariaen Gheertzn, Bellringer at Ostende
1590	Armigil Waade
1592	Arnand De Cavaignes
1593	Arnaud Delicagua
1595	Arnault Backer
1596	Arnault le Suierpont
1599	Arnold Birckmann
1600	Arnold Kyng of Beckenham, co. Kent
1602	Arnold Walwyck
1603	Arnold Wittfeldt
1605	Arnolde Lulls
1606	Arnolt de Grunevelt
1616	Arrigo Calandra
1618	Art Guilhem de Lalana
1620	Art MacMahon
1621	Art McMoriertagh O'Connor
1623	Art mac Baron O&#x2019;Neill
1625	Art. Throkmorton
1626	Arte M'Dermod
1631	Arthur Agard
1632	Arthur Ashbie
1634	Arthur Atey
1638	Arthur Bellot
1639	Arthur Blunt
1640	Arthur Bostock
1642	Arthur Brereton, of Killyon, in the county of Meath
1643	Arthur Browne
1644	Arthur Capell
1645	Arthur Carter
1647	Arthur Champernowne
1648	Arthur Dakins
1649	Arthur Georges
1650	Arthur Golding
1651	Arthur Gregory
1653	Arthur Grey, Baron Grey of Wilton
1654	Arthur Gunter
1655	Arthur Hall
1657	Arthur Heigham
1659	Arthur Herrys, Sheriff of Essex
1660	Arthur Hide
1662	Arthur Hopton
1664	Arthur Jackson
1665	Arthur Keatinge, Sovereign, and others
1666	Arthur Kelton
1667	Arthur Lallart
1668	Arthur Layton
1672	Arthur Lowe
1673	Arthur Lytley
1674	Arthur Massinger
1675	Arthur Mawd
1676	Arthur Middelton
1677	Arthur Mylls
1678	Arthur Newton
1679	Arthur O'Tool
1683	Arthur Plantagenet, Lord Lisle
1684	Arthur Pryce
1685	Arthur Remys
1686	Arthur Robyns
1687	Arthur Russhe
1688	Arthur Salwey
1689	Arthur Saull
1691	Arthur Sendye
1692	Arthur Strode
