#PLACE_ID	PLACE_LABEL
1287	Camp at the Castle of Cloghan
1288	Camp at the Moyerie
1289	Camp at the Pennerou
1290	Camp before &#x00C9;pernay
1291	Camp before Avranches
1292	Camp before Berke
1293	Camp before Blaye
1294	Camp before Boulogne
1295	Camp before Caen
1296	Camp before Chalons
1297	Camp before Coevorden
1298	Camp before Craon
1299	Camp before Delfzijl
1300	Camp before Deventer
1301	Camp before Dreux
1302	Camp before Edinburgh
1303	Camp before Geertruidenberg
1304	Camp before Genoa
1305	Camp before Grol
1306	Camp before Groningen
1307	Camp before Havre
1308	Camp before Isabella
1309	Camp before Kinsale
1310	Camp before Landercy
1311	Camp before Landercye
1312	Camp before Landersey
1313	Camp before Laon
1314	Camp before Leith
1315	Camp before Loan
1316	Camp before Marguison
1317	Camp before Marseilles
1318	Camp before Monstrell
1319	Camp before Newmegyn
1320	Camp before Nimegen
1321	Camp before Nivelles
1322	Camp before Noyon
1323	Camp before Pest
1324	Camp before Pontoyse
1325	Camp before Provins
1326	Camp before Rhyn-Berke
1327	Camp before Rochelle
1328	Camp before Rouen
1329	Camp before Saint Digier
1330	Camp before St. Digier
1331	Camp before Steenwijk
1332	Camp before Traversi
1333	Camp before Ziricksee
1334	Camp before Zutphen
1335	Camp before la F&#x00E8;re
1336	Camp before the fort
1337	Camp beside Alquyne
1338	Camp beside Bittune
1339	Camp beside Boulogne
1340	Camp beside Fauxe
1341	Camp beside Hedyn
1342	Camp beside Landersey
1343	Camp beside Monstrell
1344	Camp beside Ramly
1345	Camp beside Wark
1346	Camp beside [Whitsande baye]
1347	Camp besides Darnilare
1348	Camp beyond the Newry
1349	Camp by Ballyadams
1350	Camp by Belfast
1351	Camp by Bellagh na Forboye
1352	Camp by Blackwater
1353	Camp by Carrickbane
1354	Camp by Groningen
1355	Camp by Lamballe
1356	Camp by Lawgengen
1357	Camp by Neufch&#x00E2;tel
1358	Camp by Philipstown
1359	Camp by Saint Digier
1360	Camp by St. Digier
1361	Camp by the Newry
1362	Camp de Beauvel
1363	Camp de Chastelet
1364	Camp de Meur
1365	Camp fornent Leith
1366	Camp four miles beyond the Newry
1367	Camp from Noyon
1368	Camp in Ardnary
1369	Camp in Lesbryn in Clandebuye
1370	Camp in Muscrie near Arlow &#x005B;Aharlow&#x005D;
1371	Camp in the Moyerie
1372	Camp in the Route
1373	Camp near Arlow
1374	Camp near Armagh
1375	Camp near Askeaton
1376	Camp near Athlone
1377	Camp near Ballinacor
1378	Camp near Belfast
1379	Camp near Buda
1380	Camp near Bullen
1381	Camp near Calkewell
1382	Camp near Carigroughan
1383	Camp near Chelles
1384	Camp near Clonishe
1385	Camp near Donauwerth
1386	Camp near Dungannon
1387	Camp near Dunluce
1388	Camp near Emely
1389	Camp near Gournay
1390	Camp near Groningen
1391	Camp near Jausse
1392	Camp near Kinsale
1393	Camp near Lamballe
1394	Camp near Lillo
1395	Camp near Liscarrol
1396	Camp near Marseilles
